#S 1
#D #D Sat Nov 2 15:25:30 2024
#U blowerT 25.0
#V signal fl
#V reference tr
#V E0 24353.538239071648
#V refE0 24350.0
#V blowerT 25.0
#V J0 165668859985.5537
#L E               x
   2.462732e+04    +5.541686e-03
   2.462833e+04    +5.702663e-03
   2.462926e+04    +6.227195e-03
   2.463023e+04    +1.068208e-02
   2.463120e+04    +5.247177e-03
   2.463221e+04    +7.691858e-03
   2.463319e+04    +5.355604e-05
   2.463412e+04    -3.148883e-04
   2.463508e+04    +7.165325e-04
   2.463611e+04    -1.779418e-03
   2.463709e+04    +6.953804e-04
   2.463805e+04    -3.557162e-03
   2.463901e+04    -4.479614e-03
   2.464003e+04    -2.336240e-03
   2.464092e+04    -3.781138e-03
   2.464197e+04    -5.289062e-03
   2.464287e+04    -5.711498e-03
   2.464384e+04    -3.460858e-03
   2.464481e+04    -6.640055e-03
   2.464582e+04    -7.150453e-03
   2.464679e+04    -4.704432e-03
   2.464776e+04    -9.745416e-03
   2.464871e+04    -5.825101e-03
   2.464967e+04    -9.748369e-03
   2.465063e+04    -7.013736e-03
   2.465161e+04    -1.094630e-02
   2.465262e+04    -1.107464e-02
   2.465362e+04    -8.146214e-03
   2.465462e+04    -9.234012e-03
   2.465557e+04    -9.453878e-03
   2.465655e+04    -7.022346e-03
   2.465746e+04    -1.015203e-02
   2.465848e+04    -8.122358e-03
   2.465947e+04    -6.623035e-03
   2.466053e+04    -5.516257e-03
   2.466150e+04    +2.100388e-03
   2.466249e+04    -1.038123e-02
   2.466345e+04    +1.419614e-03
   2.466445e+04    -6.803341e-03
   2.466543e+04    -5.125750e-03
   2.466641e+04    -5.584125e-03
   2.466737e+04    -2.632482e-03
   2.466833e+04    -1.775509e-03
   2.466929e+04    -2.096618e-03
   2.467024e+04    -8.843307e-04
   2.467124e+04    +5.569264e-05
   2.467223e+04    -6.467532e-03
   2.467312e+04    -2.085803e-03
   2.467411e+04    -6.062050e-03
   2.467510e+04    +2.744993e-03
   2.467609e+04    -4.763454e-03
   2.467695e+04    -2.143232e-03
   2.467795e+04    +2.218059e-03
   2.467890e+04    +3.711934e-03
   2.467990e+04    -2.481257e-03
   2.468086e+04    -1.197272e-03
   2.468185e+04    -1.815114e-03
   2.468280e+04    -3.186486e-03
   2.468375e+04    +2.171117e-03
   2.468471e+04    -2.767308e-03
   2.468569e+04    -1.032764e-03
   2.468673e+04    -2.273521e-03
   2.468769e+04    +4.942897e-03
   2.468862e+04    +3.015182e-03
   2.468962e+04    +7.941623e-04
   2.469060e+04    -5.145145e-04
   2.469159e+04    -3.823946e-03
   2.469258e+04    -4.738615e-03
   2.469360e+04    +7.480792e-04
   2.469454e+04    -2.170423e-03
   2.469553e+04    -3.503447e-03
   2.469649e+04    -4.727490e-03
   2.469753e+04    -2.219703e-03
   2.469845e+04    -9.728440e-03
   2.469941e+04    -4.638873e-03
   2.470037e+04    -7.731072e-04
   2.470132e+04    -5.648539e-03
   2.470230e+04    -6.029815e-03
   2.470329e+04    -7.222263e-03
   2.470423e+04    -7.534997e-03
   2.470519e+04    +1.852717e-03
