#L E_Pd_01_0001    x_Pd_01_0001    E_Pd_01_0002    x_Pd_01_0002    E_Pd_01_0003    x_Pd_01_0003    E_Pd_01_0004    x_Pd_01_0004    E_Pd_01_0005    x_Pd_01_0005
   2.432475e+04    +1.795878e-02   2.432474e+04    +2.070299e-02   2.432483e+04    +2.078971e-02   2.432470e+04    +1.886426e-02   2.432479e+04    +1.865175e-02
   2.432571e+04    +1.993575e-02   2.432571e+04    +2.096542e-02   2.432584e+04    +2.196306e-02   2.432567e+04    +2.100541e-02   2.432571e+04    +1.970661e-02
   2.432665e+04    +2.293277e-02   2.432662e+04    +2.292289e-02   2.432671e+04    +2.173990e-02   2.432659e+04    +2.190309e-02   2.432668e+04    +2.067687e-02
   2.432762e+04    +2.293902e-02   2.432764e+04    +2.365834e-02   2.432771e+04    +2.415024e-02   2.432760e+04    +2.255052e-02   2.432764e+04    +2.146614e-02
   2.432853e+04    +2.561362e-02   2.432853e+04    +2.424783e-02   2.432862e+04    +2.455780e-02   2.432853e+04    +2.311216e-02   2.432856e+04    +2.345550e-02
   2.432943e+04    +2.584785e-02   2.432950e+04    +2.649175e-02   2.432960e+04    +2.634181e-02   2.432945e+04    +2.531567e-02   2.432950e+04    +2.623685e-02
   2.433040e+04    +2.665687e-02   2.433044e+04    +2.692136e-02   2.433046e+04    +2.715214e-02   2.433032e+04    +2.806571e-02   2.433045e+04    +2.852296e-02
   2.433137e+04    +2.903277e-02   2.433128e+04    +2.862357e-02   2.433145e+04    +3.001301e-02   2.433131e+04    +2.952919e-02   2.433139e+04    +2.755509e-02
   2.433232e+04    +3.009233e-02   2.433227e+04    +3.154807e-02   2.433240e+04    +3.257089e-02   2.433229e+04    +3.131882e-02   2.433232e+04    +3.023924e-02
   2.433329e+04    +3.376902e-02   2.433325e+04    +3.358702e-02   2.433333e+04    +3.461994e-02   2.433323e+04    +3.424622e-02   2.433330e+04    +3.273065e-02
   2.433424e+04    +3.571045e-02   2.433424e+04    +3.583201e-02   2.433428e+04    +3.618448e-02   2.433415e+04    +3.581288e-02   2.433428e+04    +3.598215e-02
   2.433520e+04    +3.807980e-02   2.433518e+04    +3.831428e-02   2.433520e+04    +3.921385e-02   2.433507e+04    +3.875583e-02   2.433516e+04    +3.859161e-02
